Master.Protein.Accessions	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	F13	F14	F15	F16	F17	F18	F19	F20
Q12913	0	0	5800000	5200000	0	0	3100000	0	3300000	0	7900000	21100000	7300000	0	0	0	0	0	0	0
Q12923	0	0	0	0	0	0	0	0	13500000	6700000	0	0	0	0	0	0	0	0	0	0
Q12926	0	0	0	0	0	0	0	0	0	0	4300000	0	0	0	6600000	3.8e+07	1.3e+07	0	5400000	2700000
Q12929	0	0	4400000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q12931	0	0	0	0	0	0	0	0	106100000	104810000	24300000	0	0	0	0	0	0	0	0	0
Q12959	0	0	0	0	0	0	0	0	16300000	7600000	0	0	0	0	0	0	0	0	0	0
Q13045	0	0	0	0	0	0	0	6500000	3.2e+07	16700000	4700000	3500000	1700000	0	0	0	2400000	8700000	0	10600000
Q13084	0	0	0	0	0	0	0	0	3.1e+07	1.6e+07	0	0	0	0	0	0	0	0	0	0
Q13085	0	0	0	0	0	0	0	0	1.2e+07	6900000	7e+06	0	0	0	9700000	109800000	371500000	506100000	1.46e+08	435200000
Q13098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7100000	2400000	0	0
Q13129	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4e+07	0	0	0	0	0	0
Q13131	0	0	13500000	5100000	0	6200000	4700000	17700000	2.3e+07	2e+07	0	1e+07	0	0	1e+07	0	0	7600000	0	5600000
Q13136	0	0	0	0	0	2300000	0	1e+06	21500000	24900000	3200000	0	0	0	0	0	0	0	0	0
Q13144	0	0	0	0	0	0	0	0	0	0	0	0	0	4500000	0	2300000	0	0	0	0
Q13148	0	0	1100000	0	0	0	0	0	23200000	47900000	40100000	99100000	3.17e+08	757700000	957700000	4.11e+08	209500000	161500000	61400000	2.06e+08
Q13151	0	0	0	0	0	0	0	0	0	0	2e+07	0	220800000	480300000	4.75e+08	1.36e+08	4e+06	69500000	31200000	1.4e+07
Q13155	0	0	0	0	0	0	0	0	0	6100000	0	4300000	0	0	2.2e+07	31600000	3e+06	7.8e+07	0	33400000
Q13162	0	0	17700000	0	0	0	0	0	78700000	4.3e+07	5600000	1.8e+07	0	0	0	0	0	0	0	0
Q13185	0	0	0	0	0	0	0	0	0	0	0	7100000	75800000	1.13e+08	5200000	0	5300000	7300000	0	0
Q13190	0	0	5300000	0	0	0	0	2800000	0	0	0	0	0	0	0	0	0	0	0	0
Q13200	0	0	0	0	0	0	0	0	0	22800000	3200000	0	2.2e+07	217700000	2.46e+08	242130000	253300000	280300000	48900000	142100000
Q13242	0	0	0	0	0	0	0	0	9200000	0	4800000	9800000	1.37e+08	111200000	1.42e+08	6.9e+07	0	1.6e+07	0	1.1e+07
Q13247	0	0	19200000	3200000	0	0	0	2.5e+07	3.1e+08	2.78e+08	161200000	5.1e+08	1198600000	2.827e+09	2905100000	2092780000	1.146e+09	390700000	330300000	265600000
Q13263	0	0	2700000	0	0	0	0	0	30600000	2.2e+07	0	45200000	409600000	455100000	2.7e+08	308800000	8.9e+07	71400000	9100000	48500000
Q13268	0	0	18200000	0	0	0	0	56300000	882200000	556900000	382500000	199300000	3.2e+07	6.8e+07	20400000	0	0	0	0	4900000
Q13283	0	0	0	5600000	0	4900000	5800000	0	7.5e+07	6.1e+07	0	2700000	3.1e+07	41700000	1.01e+08	379600000	145300000	5.2e+07	6300000	44600000
Q13308	0	0	4.1e+07	2.9e+07	5200000	8500000	14400000	1.6e+07	5.7e+07	1.6e+07	6600000	0	0	0	0	0	0	0	0	0
Q13310	0	0	0	3600000	0	0	4200000	18200000	89900000	32800000	17300000	26600000	9800000	2.5e+07	1.03e+08	3.22e+08	122300000	84400000	2.1e+07	116400000
Q13315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12200000	0	0	3100000
Q13347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23900000	0	3700000	0	0
Q13409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6e+07	1.4e+07	20400000	9200000	0	0
Q13423	0	0	0	0	0	0	0	0	287500000	1.51e+08	0	0	0	0	0	0	0	0	0	0
Q13425	0	0	5100000	0	0	0	2400000	7900000	3.2e+07	3.2e+07	22400000	4800000	0	0	0	0	0	0	0	0
Q13427	0	0	0	0	0	0	0	0	0	0	2500000	0	96900000	3.53e+08	457600000	1.38e+08	5.5e+07	4.1e+07	5300000	60800000
Q13428	0	0	0	0	0	0	0	0	38400000	8e+07	110100000	227100000	1992900000	2232900000	815400000	448120000	156300000	53900000	2.5e+07	11900000
Q13435	0	0	0	0	0	0	0	0	0	0	0	3200000	7.1e+07	294500000	218100000	180360000	7.4e+07	1.5e+07	72900000	108400000
Q13439	0	0	24100000	12100000	0	17700000	5200000	6100000	0	0	0	0	0	0	0	0	0	0	0	0
Q13442	0	0	0	0	0	0	0	0	8e+05	0	0	0	0	0	0	1.7e+07	3.7e+07	47100000	9100000	0
Q13443	0	0	3300000	0	0	0	0	0	7800000	3e+06	0	0	0	0	0	0	0	0	0	0
Q13459	0	0	0	0	0	0	0	0	5500000	0	0	0	0	0	0	3700000	0	0	0	0
Q13488	0	0	59650000	42300000	2700000	4400000	7500000	39200000	2e+07	1.8e+07	0	0	0	0	0	0	0	0	0	0
Q13492	0	0	0	0	0	2700000	1800000	1.2e+07	39900000	1.2e+07	0	0	0	0	0	0	0	5500000	2300000	3e+06
Q13501	0	0	113200000	39700000	2200000	0	16400000	6e+07	7.8e+07	5e+07	5.3e+07	5300000	10900000	3.8e+07	2.7e+07	1.9e+07	4e+07	1.8e+07	3500000	1.4e+07
Q13523	0	0	0	0	0	0	0	0	0	0	0	0	25800000	76500000	86700000	64800000	70800000	5300000	0	0
Q13561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8500000	0	3500000
Q13573	0	0	0	0	0	0	0	0	0	0	0	0	3600000	1e+07	16200000	0	440000	0	0	0
Q13586	0	0	0	2300000	0	0	0	10700000	1.9e+07	0	0	0	0	0	0	0	0	0	0	0
Q13595	0	0	0	0	0	0	0	0	1.5e+07	1.6e+07	0	6800000	251200000	5.63e+08	390300000	378100000	138800000	5.7e+07	34500000	8900000
Q13596	0	0	28400000	3e+07	14400000	55100000	8600000	45900000	1.2e+07	0	4700000	3e+06	2e+06	5700000	0	0	0	0	0	0
Q13625	0	0	0	0	0	2100000	0	0	6e+06	4800000	0	0	0	0	0	0	0	0	0	0
Q13630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32700000	5800000	8200000
Q13641	0	0	5.2e+07	27800000	5700000	16200000	16700000	12700000	11800000	22500000	2500000	0	0	0	0	0	0	0	0	0
Q13724	0	0	6700000	0	0	0	0	2.6e+07	64300000	51900000	34100000	7700000	0	0	0	0	0	0	0	0
Q13740	0	0	81900000	44900000	0	1.3e+07	5400000	1.9e+07	73100000	58700000	1.3e+07	0	4400000	0	0	0	0	0	0	0
Q13796	0	0	0	0	0	0	0	0	7900000	0	8300000	0	0	0	0	0	0	0	0	0
Q13813	0	0	24500000	13700000	5300000	13100000	50400000	291200000	1824200000	1215800000	433600000	164700000	22400000	74300000	9700000	9200000	15900000	21700000	4730000	23400000
Q13835	0	0	0	0	0	0	10700000	0	0	0	0	0	0	0	0	0	0	0	0	0
Q13885	0	0	0	0	0	3200000	0	0	7700000	0	0	0	0	0	0	0	0	6800000	3400000	5600000
Q13948	0	0	0	1900000	0	0	2200000	4200000	0	0	0	0	0	0	0	0	0	0	0	0
Q14008	0	0	0	0	0	0	0	0	2.9e+07	0	0	0	9100000	3e+07	0	1.5e+07	8100000	2800000	1200000	7800000
Q14011	0	0	0	0	0	0	0	0	0	0	0	0	8500000	1e+07	2400000	2.3e+07	4400000	0	0	0
Q14103	0	0	4e+06	6100000	0	5600000	2900000	22100000	3.01e+08	1.45e+08	1.01e+08	326300000	1109500000	2121700000	2184800000	1267600000	767200000	459500000	1.59e+08	256200000
Q14108	9500000	5.5e+07	1132700000	722800000	251100000	747230000	440500000	938300000	784500000	552800000	259500000	181600000	5.2e+07	0	2.3e+07	1.1e+07	0	1.6e+07	2e+07	71100000
Q14126	0	2300000	39200000	39800000	1.1e+07	13400000	24840000	0	6.9e+07	37500000	21900000	0	0	0	0	0	0	0	0	0
Q14137	0	0	0	0	0	0	0	0	9100000	0	0	6900000	3.7e+07	152400000	58400000	55600000	7200000	0	10800000	3700000
Q14151	0	0	0	0	0	0	0	0	0	0	3200000	3500000	1.38e+08	2.43e+08	1.1e+08	1.9e+07	2.9e+07	4e+06	1600000	10500000
Q14152	0	0	0	0	0	0	0	0	11600000	15400000	1e+07	2200000	0	0	282900000	691800000	287800000	107800000	60100000	38180000
Q14156	0	0	0	0	0	0	0	7100000	3200000	0	0	0	0	0	0	0	0	0	0	0
Q14157	0	0	5100000	4e+06	2300000	4e+06	2500000	23900000	135200000	24600000	22300000	7400000	24200000	9400000	66800000	487330000	249700000	94100000	24700000	4.4e+07
Q14160	0	0	53800000	2.8e+07	19100000	27900000	4.1e+07	196400000	7.25e+08	494400000	216600000	119500000	6100000	0	0	0	0	0	0	0
Q14165	0	0	2800000	0	0	0	0	5100000	0	2.5e+07	1.7e+07	9e+06	0	0	0	0	0	0	0	0
Q14166	0	0	0	0	0	0	0	0	0	0	0	0	3800000	2100000	0	6100000	0	4900000	9400000	19300000
Q14192	0	0	11800000	0	0	0	0	0	6500000	0	0	0	0	7100000	8100000	7400000	0	8600000	0	9e+06
Q14194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13900000	0	0
Q14195	0	0	2300000	2200000	0	0	0	7500000	2.6e+07	8300000	5e+06	0	0	0	0	1.6e+07	37300000	1e+08	45500000	65300000
Q14202	0	0	0	0	0	0	0	0	0	0	0	6500000	70400000	6.1e+07	0	22100000	8500000	1.1e+07	0	4500000
Q14203	0	0	3200000	0	0	0	2900000	5700000	1e+07	1.3e+07	6e+06	3300000	23800000	137600000	82700000	66800000	111200000	98200000	38600000	85700000
Q14204	0	0	125190000	52200000	3100000	26210000	23300000	199600000	315500000	173900000	120700000	103200000	17900000	2208400000	2.872e+09	1059100000	2397300000	1470400000	924300000	2229600000
Q14240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6e+07	7400000	9300000
Q14247	0	0	2200000	1800000	0	4100000	1100000	48300000	299400000	9.2e+07	45500000	26900000	2200000	1.7e+07	17400000	6.6e+07	6e+06	2.5e+07	7600000	40600000
Q14257	0	0	0	0	0	0	0	0	8800000	9400000	8690000	1400000	0	0	0	0	0	0	0	0
Q14258	0	0	4600000	0	0	0	0	3300000	22100000	1.3e+07	0	0	1.4e+07	23400000	14700000	32100000	4.7e+07	24600000	2200000	9900000
Q14315	4500000	15900000	734600000	416300000	1.54e+08	4.28e+08	455100000	2418100000	10949600000	6503300000	2922500000	2245300000	2257800000	5686700000	6514300000	7063100000	8971200000	8867400000	4591800000	8424700000
Q14318	0	0	0	0	0	0	0	17500000	0	1.7e+07	0	1.2e+07	0	0	0	0	0	0	0	0
Q14344	0	0	4300000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q14444	0	0	0	0	0	0	0	0	3.5e+07	0	0	0	0	0	0	103800000	15800000	0	1200000	1300000
Q14498	0	0	0	0	0	0	0	0	4e+06	0	0	16300000	2.11e+08	3.84e+08	206400000	197200000	109800000	4.1e+07	7900000	3e+07
Q14562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1e+07	0	0	0	0	0
Q14566	0	0	0	0	0	0	0	0	0	0	0	4700000	1.7e+07	24400000	4.4e+07	56700000	25500000	1.29e+08	55900000	113800000
Q14573	0	0	1200000	0	0	0	0	0	78500000	11400000	2700000	0	0	0	0	0	0	0	0	0
Q14596	0	0	20200000	4200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q14667	0	0	0	0	0	0	0	4100000	0	0	3300000	0	0	0	0	0	0	0	0	0
Q14669	0	0	0	0	0	0	0	0	8500000	8700000	3400000	0	49300000	47700000	9200000	5.3e+07	7e+06	0	0	0
Q14671	0	0	0	0	0	0	0	0	6100000	5700000	0	0	0	0	4300000	2.24e+08	39500000	0	4300000	12700000
Q14676	0	0	0	0	0	0	0	0	0	4600000	9400000	1e+07	3.97e+08	1.37e+08	1.2e+07	0	0	0	0	0
Q14677	0	0	15100000	2.4e+07	17600000	1.03e+08	107400000	305200000	13700000	1.6e+07	1.1e+07	0	0	0	0	0	0	3200000	0	880000
Q14683	0	0	0	0	0	0	0	0	0	0	0	0	1.5e+07	2.5e+07	1.6e+07	2.5e+07	1.3e+07	0	0	7200000
Q14684	0	0	0	0	0	0	0	0	0	0	0	0	1.3e+07	54300000	9e+06	0	9e+06	0	0	0
Q14690	0	0	0	0	0	0	0	0	0	0	0	6700000	168100000	4.03e+08	32200000	1.3e+07	0	6600000	0	4400000
Q14692	0	0	0	0	0	0	0	0	3100000	0	550000	1.2e+07	149700000	385700000	78700000	1.7e+07	7200000	1500000	0	0
Q14694	0	0	0	0	0	0	0	0	6400000	0	0	0	0	0	0	3e+07	1.9e+07	11700000	0	0
Q14697	0	0	134700000	92500000	6800000	42500000	66500000	239600000	1119400000	9.56e+08	522900000	178700000	2.8e+07	58100000	31700000	1.2e+07	8400000	5.7e+07	24800000	5.9e+07
Q14739	0	0	0	5900000	0	0	4900000	18700000	1.4e+07	2600000	1500000	0	4.2e+07	18200000	0	0	0	0	0	0
Q14764	0	0	4700000	0	0	0	0	0	9600000	0	0	0	0	23800000	43900000	4.1e+07	45900000	96200000	22700000	45500000
Q14781	0	0	0	0	0	0	0	0	0	0	0	0	8500000	16200000	0	0	0	0	0	0
Q14789	0	40910000	4708200000	2275800000	511080000	2348780000	1661100000	2956800000	819400000	304500000	184020000	48290000	1.4e+07	0	0	0	0	0	0	12200000
Q14839	0	0	0	0	0	0	0	0	0	0	0	18900000	111500000	181500000	1.34e+08	58900000	0	1.3e+07	4600000	0
Q14847	0	3300000	150100000	1.04e+08	32600000	69500000	61900000	205400000	8.3e+08	711800000	241800000	198600000	170400000	1.54e+08	1.75e+08	416400000	2.18e+08	220800000	1.12e+08	103400000
Q14966	0	0	0	0	0	0	0	0	13700000	5e+06	0	12700000	452900000	614300000	4.59e+08	168200000	67700000	16300000	7400000	1.8e+07
Q14974	0	0	27300000	19400000	5400000	9600000	22900000	47200000	161600000	121900000	94100000	89200000	186200000	189300000	236600000	242500000	362600000	285900000	207300000	233600000
Q14978	0	0	7200000	5600000	0	0	3800000	18400000	1.1e+07	74500000	47700000	162300000	2078200000	2801100000	1420300000	309900000	186070000	45200000	65780000	3.5e+07
Q14980	0	0	1.1e+07	0	0	0	7800000	0	290110000	147900000	74800000	359700000	2590800000	2587670000	1128600000	905700000	5.25e+08	279800000	175400000	263600000
Q14997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.2e+07	0	110400000	75900000	45500000	7.3e+07
Q14999	0	0	0	0	0	0	0	0	5400000	0	0	0	0	0	0	0	0	0	0	0
Q14C86	0	0	0	0	1200000	0	2200000	0	1600000	0	0	0	0	0	0	0	0	0	0	2800000
Q15003	0	0	0	3100000	0	0	0	16600000	0	60700000	7300000	11400000	25800000	238400000	130200000	1.02e+08	18100000	9.7e+07	3.3e+07	63600000
Q15019	0	0	0	0	0	0	0	0	1.7e+07	0	0	0	0	0	1e+07	20100000	9700000	0	0	0
Q15020	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+07	27600000	29800000	10800000	9300000	0	0
Q15021	0	0	3e+06	0	0	0	0	7900000	19900000	12900000	0	0	1.7e+07	143200000	193500000	5.7e+07	103200000	114300000	54600000	102500000
Q15029	0	0	0	0	0	0	0	0	0	0	0	0	1.4e+07	0	67900000	37700000	8500000	33400000	3300000	31100000
Q15031	0	0	0	0	0	0	0	0	1e+07	1.1e+07	0	0	0	0	0	0	0	0	0	0
Q15043	0	0	80300000	1.41e+08	9.8e+07	1.03e+08	70700000	81100000	7.9e+07	4.3e+07	0	9100000	0	0	0	0	0	0	0	0
Q15046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9700000	7300000	26500000	3.1e+07	11200000	4900000
Q15050	0	0	0	0	0	0	0	0	0	0	0	0	2.2e+07	6900000	3200000	6300000	0	0	0	0
Q15059	0	0	0	0	0	0	0	0	0	0	0	0	66300000	8.9e+07	3500000	14500000	4400000	0	0	0
Q15061	0	0	0	0	0	0	0	0	0	0	0	0	6.8e+07	2.91e+08	8.4e+07	4.2e+07	0	0	0	0
Q15075	0	0	12400000	14700000	2e+06	29500000	9500000	26800000	0	0	0	0	0	0	0	0	0	0	0	0
Q15084	0	1870000	178600000	112600000	34400000	8e+07	138700000	256700000	1706200000	1.444e+09	7.24e+08	5.4e+08	332300000	2.17e+08	85500000	4.9e+07	29400000	49600000	2.1e+07	5.5e+07
Q15149	0	21700000	1333300000	974400000	285900000	684900000	1179380000	6841390000	4.5095e+10	31462700000	17324930000	14554900000	5758680000	10538400000	8884600000	7473800000	12036800000	8180600000	5268700000	7876100000
Q15154	0	0	0	0	0	1200000	4e+06	2500000	2.2e+07	18700000	0	1800000	57600000	365130000	113200000	3.1e+07	8100000	0	0	14700000
Q15155	0	0	0	0	0	0	0	0	9700000	8500000	0	0	0	0	0	0	0	0	0	0
Q15181	0	0	0	0	0	0	0	0	16200000	3400000	0	0	0	1.2e+07	4600000	20600000	9500000	4.8e+07	7e+06	29200000
Q15185	0	0	0	0	0	0	0	0	0	0	0	0	7200000	7800000	0	4e+06	0	8800000	0	4500000
Q15233	0	0	0	0	0	0	3500000	24100000	95600000	74400000	34900000	107500000	4.2e+08	6.71e+08	290200000	871700000	474200000	2.94e+08	111600000	253600000
Q15262	0	0	3200000	2500000	0	0	0	5400000	17400000	0	0	0	0	0	0	0	0	0	0	0
Q15269	0	0	0	0	0	0	0	0	9300000	0	0	0	50800000	2.01e+08	5.5e+07	1.3e+07	2.7e+07	34500000	0	0
Q15287	0	0	0	0	0	0	0	0	6400000	3.2e+07	4300000	26500000	155400000	241100000	386100000	7.33e+08	154700000	9.9e+07	8500000	9700000
Q15293	0	0	10900000	15900000	0	22700000	18800000	4.3e+07	192300000	9.5e+07	6.3e+07	2.9e+07	0	0	0	0	0	6300000	0	0
Q15334	0	0	6500000	4500000	0	0	0	1.2e+07	27300000	6400000	0	0	0	0	0	6700000	6900000	0	0	5500000
Q15365	0	3600000	6.4e+07	63100000	2.3e+07	34500000	36600000	134500000	387900000	2.91e+08	166900000	140700000	3.72e+08	709100000	1133840000	1012960000	522300000	372100000	249600000	298100000
Q15366	0	0	29500000	17680000	0	0	0	5.6e+07	140600000	71400000	5.5e+07	4.3e+07	1.1e+08	4.46e+08	4.01e+08	301100000	2.24e+08	171200000	84890000	2.34e+08
Q15393	0	0	0	0	0	0	0	0	0	0	0	0	3.3e+07	25800000	93400000	114200000	110900000	6.7e+07	23700000	103100000
Q15417	0	0	8700000	7800000	0	0	0	4.7e+07	5.02e+08	106200000	29700000	7500000	0	0	11900000	1.8e+07	8800000	15900000	1900000	16400000
Q15424	0	0	0	0	0	0	0	0	39500000	24200000	19500000	81100000	370056000	5.58e+08	545500000	1.76e+08	137200000	32700000	0	23900000
Q15427	0	0	0	0	0	0	0	0	0	0	0	0	3.8e+07	7.1e+07	9.7e+07	85700000	5.4e+07	3.8e+07	2.1e+07	31700000
Q15428	0	0	0	0	0	0	0	0	0	0	0	0	1e+07	0	10400000	0	0	0	0	0
Q15434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6600000	0	0	0	0
Q15436	0	0	28600000	0	0	21300000	8700000	47800000	3.7e+07	0	21200000	1.8e+07	0	0	1e+07	8e+06	59200000	95100000	19500000	23600000
Q15437	0	0	1.9e+07	2600000	1500000	5800000	4400000	20900000	4300000	0	2900000	0	0	0	3200000	4300000	34700000	28200000	2.6e+07	10600000
Q15459	0	0	0	0	0	0	0	0	0	0	0	0	20100000	1.9e+07	32300000	29900000	19600000	38900000	4700000	2.2e+07
Q15477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5100000
Q15599	0	0	5900000	2400000	0	0	0	0	0	0	4800000	0	0	0	0	0	0	0	0	0
Q15631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2700000	2500000	0	0
Q15637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.1e+07	0	9e+06	0	0	0
Q15643	0	410000	201500000	76200000	13200000	93800000	53700000	73300000	2100000	0	0	0	0	0	0	0	0	0	0	0
Q15648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	820000	3400000	0	0	0	0
Q15654	0	0	28100000	0	0	6e+06	1100000	5800000	1.42e+08	6e+07	2.5e+07	21200000	1.7e+07	0	24300000	7.2e+07	75400000	41400000	1.8e+07	5.8e+07
Q15678	0	0	0	0	0	0	0	0	2.2e+07	0	0	0	0	0	0	0	0	0	0	1700000
Q15691	0	0	0	6e+06	0	0	0	0	4800000	15100000	0	6500000	0	3.3e+07	1.8e+07	8200000	7e+06	2.5e+07	1.3e+07	1.5e+07
Q15717	0	0	7400000	0	0	10600000	8800000	71500000	327500000	2.65e+08	201300000	414200000	1.115e+09	3045300000	3.457e+09	1932700000	1.061e+09	4.32e+08	292700000	5.07e+08
Q15751	0	0	0	0	0	0	0	2800000	0	0	0	0	0	0	3500000	0	0	4700000	0	0
Q15758	0	34600000	6.39e+08	3.7e+08	109300000	2.18e+08	197200000	376700000	753600000	822300000	1.2e+08	3.9e+07	39500000	0	0	0	0	0	0	0
Q15904	0	0	31400000	24900000	0	23400000	2.3e+07	23200000	3.6e+07	8.7e+07	8300000	5500000	4.3e+07	4e+07	0	0	0	0	0	0
Q15907	0	0	1800000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q15942	0	0	28500000	18400000	0	1.1e+07	24300000	1.38e+08	406200000	286100000	92200000	62100000	20600000	72300000	134600000	2.12e+08	1.55e+08	3.6e+07	7.7e+07	7.5e+07
Q16181	0	0	0	0	0	0	0	3700000	17700000	0	0	0	0	0	0	0	0	4700000	0	2800000
Q16531	0	0	0	0	0	0	0	0	0	0	0	14700000	109400000	212500000	104200000	205200000	280200000	238900000	127900000	253800000
Q16543	0	0	0	0	0	0	0	0	5400000	2300000	740000	14300000	0	0	8900000	5400000	9600000	2.1e+07	0	3200000
Q16555	0	0	0	0	0	0	0	9100000	1.05e+08	60600000	0	0	22100000	6800000	27300000	118800000	86600000	427400000	170100000	141400000
Q16563	0	0	232100000	161600000	7.5e+07	1.3e+08	5.5e+07	4.3e+07	7e+07	0	0	0	0	0	0	0	0	0	0	8300000
Q16576	0	0	0	0	0	0	0	0	0	0	0	0	1.4e+07	1e+07	0	6300000	0	2.6e+07	0	1.1e+07
Q16625	0	0	0	4200000	0	0	1100000	0	0	0	0	0	0	0	0	0	0	0	0	0
Q16629	0	0	0	0	0	0	8800000	7300000	122600000	1.17e+08	4.5e+07	1.26e+08	1211400000	3.97e+09	2.172e+09	1.669e+09	6.76e+08	1.1e+08	38100000	1.85e+08
Q16630	0	0	0	0	0	0	0	0	0	0	0	0	0	36600000	5.9e+07	28100000	25500000	0	0	0
Q16637	0	0	0	0	0	0	0	0	7100000	0	0	0	0	0	4.9e+07	0	2.1e+07	0	0	3500000
Q16643	0	1800000	93800000	63900000	21990000	32970000	57100000	361640000	2322100000	1775320000	612790000	514800000	1.44e+08	1.03e+08	6.2e+07	10460000	2e+07	24200000	24400000	39700000
Q16658	0	0	5300000	0	0	3400000	0	0	99300000	43400000	11600000	11300000	3.8e+07	247700000	227200000	471700000	3.91e+08	763600000	4.12e+08	6.04e+08
Q16666	0	0	0	0	0	0	0	0	0	0	0	4100000	1.3e+07	17500000	2.8e+07	19900000	3200000	6800000	4600000	4800000
Q16698	0	0	0	0	0	0	0	0	6600000	4100000	0	0	0	0	0	0	0	0	0	0
Q16706	0	0	11200000	2800000	0	5500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q16762	0	0	0	0	0	0	0	0	6e+07	3.2e+07	15300000	0	0	0	0	0	0	0	0	0
Q16822	0	0	0	0	0	0	0	0	236100000	80700000	40100000	0	0	0	0	0	0	0	0	0
Q16851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9900000	0	0
Q16881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5300000	5400000	1.2e+07	9800000	12800000
Q16891	0	0	0	0	0	0	0	0	163300000	136100000	6200000	0	0	0	0	0	0	0	0	0
Q1KMD3	0	0	0	0	0	0	0	0	0	0	0	1800000	65100000	223900000	199400000	56900000	19900000	5500000	2800000	11800000
Q27J81	0	0	10200000	3100000	0	2580000	3700000	0	4e+07	30700000	1400000	0	9900000	6700000	4700000	0	0	0	0	0
Q29RF7	0	0	0	0	0	0	0	0	2.7e+07	1.9e+07	0	0	15200000	54100000	58100000	32200000	16600000	26800000	15510000	11900000
Q2KJ93	0	0	13900000	7120000	0	2400000	0	8e+06	3e+07	9800000	4300000	0	0	0	0	7100000	0	4100000	0	0
Q2M1P5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.8e+07	0	0	0	0
Q2M1Z3	0	0	0	0	0	0	0	0	8800000	2600000	0	1300000	0	0	0	0	0	0	0	0
Q2M2I8	0	0	0	0	0	0	0	0	8100000	0	0	0	1.1e+07	0	0	8400000	1.1e+07	0	2400000	5700000
Q2NL82	0	0	0	0	0	0	0	0	0	0	0	0	0	6.7e+07	0	8200000	6e+06	0	0	0
Q2TAY7	0	0	0	0	0	0	0	0	0	0	0	0	0	27200000	1.5e+07	36500000	1.6e+07	2.8e+07	4800000	15400000
Q32MZ4	0	0	3300000	0	0	0	1600000	6600000	2.1e+07	22300000	8900000	25400000	8100000	0	0	0	0	3800000	0	0
Q32P28	0	0	0	0	0	0	0	6400000	3.3e+07	1.2e+07	17300000	0	0	0	0	0	0	0	0	0
Q32P44	0	0	0	0	0	0	0	0	0	0	0	0	0	5700000	0	1.3e+07	0	0	0	0
Q3KQU3	0	0	0	0	0	0	0	2.3e+07	27970000	12100000	0	0	0	0	5100000	77700000	18700000	2.4e+07	8300000	8100000
Q3T906	0	0	2.6e+07	0	0	0	2800000	0	0	0	0	0	0	0	0	0	0	0	0	0
Q3V6T2	0	0	4700000	1900000	0	1300000	0	7200000	1.8e+07	3100000	0	0	0	1.2e+07	0	0	0	0	0	0
Q3ZCQ8	0	0	0	0	0	0	0	0	32600000	2.6e+07	0	0	0	0	0	0	0	0	0	0
Q460N5	0	0	0	0	0	490000	0	0	5200000	2e+06	0	0	0	0	6200000	0	2e+06	0	0	4900000
Q4G0F5	0	0	0	7900000	3600000	8700000	4200000	6300000	0	0	0	0	0	0	0	3100000	0	0	0	0
Q4G0J3	0	0	0	0	0	0	0	0	0	0	0	3300000	34900000	117700000	93400000	1.05e+08	39500000	6500000	2700000	5800000
Q4KMP7	0	0	6200000	0	0	0	0	9300000	2.3e+07	1.8e+07	0	0	0	0	0	0	0	0	0	0
Q4KMQ2	0	0	3500000	15300000	0	3300000	0	6e+06	0	0	0	0	0	0	0	0	0	0	0	0
Q4V328	0	0	0	660000	0	3930000	3200000	0	0	0	0	0	0	0	0	0	0	0	0	0
Q4VCS5	0	0	0	0	0	0	0	0	3400000	7400000	0	0	0	0	0	0	0	0	0	0
Q52LW3	0	0	0	0	0	0	0	0	24400000	1.2e+07	0	0	0	0	0	0	0	0	0	0
Q53EL6	0	0	0	0	0	0	0	0	0	0	0	0	6900000	0	0	1.5e+07	0	6800000	5700000	0
Q53EP0	0	0	0	0	0	0	0	47600000	229200000	65900000	46700000	1.5e+07	0	0	0	0	0	0	0	0
Q53FA7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4200000	0	0	0	0
