Master.Protein.Accessions	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	F13	F14	F15	F16	F17	F18	F19	F20
O60831	0	0	0	9100000	0	1e+07	0	0	1.6e+07	0	0	0	0	0	0	0	0	0	0	0
O60832	0	0	0	0	0	0	0	0	0	0	0	0	7.8e+07	133900000	35900000	1.6e+07	10600000	0	0	5200000
O60841	0	0	39800000	11500000	0	7300000	14080000	77400000	52600000	97900000	94200000	384900000	2390600000	2487080000	1.026e+09	1270700000	988800000	419500000	124300000	156800000
O60884	0	0	0	0	0	0	0	0	1e+07	3400000	0	0	0	0	0	0	0	0	0	0
O60885	0	0	0	0	0	0	0	0	0	0	0	0	6900000	1e+06	0	0	0	0	0	0
O60941	0	0	0	0	0	0	0	0	1.7e+07	0	0	0	0	0	0	0	0	0	0	0
O75044	0	0	1.4e+07	0	0	0	0	0	0	0	4e+06	0	0	0	0	0	0	0	0	0
O75054	0	0	15670000	9700000	0	3900000	1e+06	0	0	0	0	0	0	0	0	0	0	0	0	0
O75083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.9e+07	32600000	1.77e+08	52700000	5.9e+07
O75110	0	0	18500000	13600000	3600000	10500000	4600000	2900000	0	0	0	0	0	0	0	0	0	0	0	0
O75116	0	0	11800000	5900000	2400000	3900000	5200000	34600000	134400000	54800000	28500000	5200000	0	0	0	8800000	0	1.1e+07	0	8e+06
O75122	0	0	0	0	0	0	0	0	7300000	5100000	0	0	0	0	0	0	0	0	0	0
O75131	0	0	5100000	0	0	0	0	3900000	0	0	0	0	0	0	0	0	0	1.5e+07	0	31400000
O75146	0	0	0	2100000	0	3400000	17800000	46500000	39800000	10700000	2e+06	2200000	0	0	4e+06	4100000	6300000	3e+06	0	2600000
O75152	0	0	0	0	0	0	0	0	0	0	0	1400000	18600000	8.8e+07	91300000	37200000	0	0	0	0
O75153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31100000	34600000	50800000	7600000	5.4e+07
O75165	0	1800000	537740000	525300000	289300000	455600000	102610000	217870000	42400000	3600000	0	0	0	0	0	0	0	0	0	0
O75175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1e+07	0	0	0	0	0
O75179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27200000	0	1.2e+07	0	9200000
O75319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9700000	0	0	0	0	0
O75367	0	0	0	0	0	0	0	0	0	0	0	0	0	2800000	0	0	0	0	0	0
O75369	0	3920000	702870000	449500000	149460000	3.8e+08	532920000	2594900000	1.1867e+10	7324240000	3366930000	2481400000	2602900000	4195300000	3153500000	2363100000	2.771e+09	3126700000	1470300000	3065500000
O75390	0	0	0	0	0	0	0	0	132400000	99200000	2.4e+07	0	0	0	0	0	0	0	0	0
O75396	0	0	18400000	6200000	0	11500000	5700000	25600000	9400000	0	5300000	0	0	0	0	0	0	0	0	0
O75400	0	0	0	0	0	0	0	0	7500000	25800000	8900000	68300000	354700000	1012800000	1265100000	763700000	5.09e+08	300600000	71900000	136500000
O75427	0	0	840000	0	0	6100000	4100000	34500000	3300000	0	0	0	0	0	0	0	0	0	0	0
O75439	0	0	0	0	0	0	0	0	50100000	7e+07	1.4e+07	0	0	0	0	0	0	0	0	0
O75475	0	0	0	0	0	0	0	0	0	0	0	2300000	80800000	1.25e+08	0	0	0	0	0	0
O75477	0	0	0	0	0	0	0	0	3300000	0	0	0	0	0	0	0	0	0	0	0
O75494	0	0	0	0	0	0	0	0	9.8e+07	3.3e+07	5.9e+07	1.14e+08	2.36e+08	618500000	625200000	6.32e+08	2.62e+08	4.9e+07	0	112900000
